timestamp,activity_index,behavior_quality,quality_good_pct,quality_fair_pct,quality_poor_pct,activity_grade
2026-09-08 21:00:00+09:00,96.0,GOOD,87.4,8.3,4.3,NORMAL
2026-09-08 21:05:00+09:00,103.5,GOOD,80.5,8.0,11.5,NORMAL
2026-09-08 21:10:00+09:00,109.2,FAIR,62.3,30.4,7.3,NORMAL
2026-09-08 21:15:00+09:00,114.8,GOOD,79.8,12.5,7.7,HIGH
2026-09-08 21:20:00+09:00,111.6,GOOD,74.6,18.4,7.0,NORMAL
2026-09-08 21:25:00+09:00,121.3,FAIR,58.6,26.3,15.1,HIGH
2026-09-08 21:30:00+09:00,118.4,GOOD,79.2,14.0,6.8,HIGH
2026-09-08 21:35:00+09:00,97.8,GOOD,84.4,13.2,2.4,NORMAL
2026-09-08 21:40:00+09:00,117.8,GOOD,81.2,13.1,5.7,NORMAL
2026-09-08 21:45:00+09:00,99.6,FAIR,58.1,34.0,7.9,NORMAL
2026-09-08 21:50:00+09:00,103.4,GOOD,80.7,17.0,2.3,NORMAL
2026-09-08 21:55:00+09:00,97.3,FAIR,58.6,36.6,4.8,NORMAL
2026-09-08 22:00:00+09:00,110.2,POOR,21.5,36.7,41.8,NORMAL
2026-09-08 22:05:00+09:00,93.7,GOOD,74.6,15.7,9.7,NORMAL
2026-09-08 22:10:00+09:00,104.9,FAIR,42.5,37.0,20.5,NORMAL
2026-09-08 22:15:00+09:00,105.1,GOOD,88.8,7.1,4.1,NORMAL
2026-09-08 22:20:00+09:00,100.4,GOOD,76.5,15.2,8.3,NORMAL
2026-09-08 22:25:00+09:00,99.1,GOOD,75.5,18.5,6.0,NORMAL
2026-09-08 22:30:00+09:00,90.0,GOOD,78.6,13.9,7.5,NORMAL
2026-09-08 22:35:00+09:00,88.8,GOOD,84.5,10.1,5.4,NORMAL
2026-09-08 22:40:00+09:00,92.2,GOOD,82.6,11.6,5.8,NORMAL
2026-09-08 22:45:00+09:00,95.5,GOOD,85.0,10.9,4.1,NORMAL
