timestamp,event_id,meal_no,status,trigger,feed_amount_g,growth_stage,is_overfeeding,frs_score,response_latency_sec,activity_before_px_s,activity_during_px_s,activity_after_px_s,activity_increase_pct,activity_ratio,surface_approach_ratio,data_source,note,activity_score,latency_score
2026-09-15 18:00:00+0900,32,2,OK,AUTO,0.052,ADULT,false,98.6,12,100.0,133.9,111.86,33.9,1.339,0.783,measured,,100.0,96.0
2026-09-15 08:00:00+0900,31,1,OK,AUTO,0.05,ADULT,false,93.3,57,100.0,139.9,113.96,39.9,1.399,0.532,measured,,100.0,81.0
2026-09-14 18:00:00+0900,30,2,OK,AUTO,0.052,ADULT,false,96.3,32,100.0,130.2,110.57,30.2,1.302,0.671,measured,,100.0,89.33
2026-09-14 08:00:00+0900,29,1,OK,AUTO,0.057,ADULT,false,97.2,24,100.0,119.2,106.72,19.2,1.192,0.716,measured,,100.0,92.0
2026-09-13 18:00:00+0900,28,2,OK,AUTO,0.059,ADULT,false,95.7,37,100.0,137.2,113.02,37.2,1.372,0.644,measured,,100.0,87.67
2026-09-13 08:00:00+0900,27,1,OK,AUTO,0.055,ADULT,false,99.1,8,100.0,148.4,116.94,48.4,1.484,0.805,measured,,100.0,97.33
2026-09-12 18:00:00+0900,26,2,OK,AUTO,0.052,ADULT,false,92.9,61,100.0,125.0,108.75,25.0,1.25,0.51,measured,,100.0,79.67
2026-09-12 08:00:00+0900,25,1,OK,AUTO,0.059,ADULT,false,94.6,46,100.0,138.3,113.4,38.3,1.383,0.593,measured,,100.0,84.67
2026-09-11 18:00:00+0900,24,2,OK,AUTO,0.052,ADULT,false,92.0,69,100.0,140.7,114.24,40.7,1.407,0.465,measured,,100.0,77.0
2026-09-11 08:00:00+0900,23,1,OK,AUTO,0.055,ADULT,false,98.5,13,100.0,126.2,109.17,26.2,1.262,0.778,measured,,100.0,95.67
2026-09-10 18:00:00+0900,22,2,OK,AUTO,0.05,ADULT,false,94.4,48,100.0,113.4,104.69,13.4,1.134,0.582,measured,,100.0,84.0
2026-09-10 08:00:00+0900,21,1,OK,AUTO,0.054,ADULT,false,99.1,8,100.0,141.5,114.52,41.5,1.415,0.805,measured,,100.0,97.33
2026-09-09 18:00:00+0900,20,2,OK,AUTO,0.057,ADULT,false,96.5,30,100.0,132.9,111.52,32.9,1.329,0.682,measured,,100.0,90.0
2026-09-09 08:00:00+0900,19,1,OK,AUTO,0.056,ADULT,false,99.1,8,100.0,135.9,112.56,35.9,1.359,0.805,measured,,100.0,97.33
2026-09-08 18:00:00+0900,18,2,OK,AUTO,0.055,ADULT,false,91.6,72,100.0,141.3,114.46,41.3,1.413,0.448,measured,,100.0,76.0
2026-09-08 08:00:00+0900,17,1,OK,AUTO,0.052,ADULT,false,98.0,17,100.0,148.2,116.87,48.2,1.482,0.755,measured,,100.0,94.33
2026-09-07 18:00:00+0900,16,2,OK,AUTO,0.055,ADULT,false,97.2,24,100.0,130.2,110.57,30.2,1.302,0.716,measured,,100.0,92.0
2026-09-07 08:00:00+0900,15,1,OK,AUTO,0.059,ADULT,false,94.0,51,100.0,128.2,109.87,28.2,1.282,0.565,measured,,100.0,83.0
2026-09-06 18:00:00+0900,14,2,OK,AUTO,0.057,ADULT,false,94.4,48,100.0,133.5,111.72,33.5,1.335,0.582,measured,,100.0,84.0
2026-09-06 08:00:00+0900,13,1,OK,AUTO,0.059,ADULT,false,96.3,32,100.0,137.0,112.95,37.0,1.37,0.671,measured,,100.0,89.33
2026-09-05 18:00:00+0900,12,2,OK,AUTO,0.055,ADULT,false,91.1,76,100.0,132.1,111.24,32.1,1.321,0.425,measured,,100.0,74.67
2026-09-05 08:00:00+0900,11,1,OK,AUTO,0.058,ADULT,false,97.9,18,100.0,144.5,115.58,44.5,1.445,0.75,measured,,100.0,94.0
2026-09-04 18:00:00+0900,10,2,OK,AUTO,0.052,ADULT,false,95.1,42,100.0,137.6,113.16,37.6,1.376,0.615,measured,,100.0,86.0
2026-09-04 08:00:00+0900,9,1,OK,AUTO,0.056,ADULT,false,94.6,46,100.0,136.5,112.78,36.5,1.365,0.593,measured,,100.0,84.67
2026-09-03 18:00:00+0900,8,2,OK,AUTO,0.055,ADULT,false,95.7,37,100.0,148.6,117.01,48.6,1.486,0.644,measured,,100.0,87.67
2026-09-03 08:00:00+0900,7,1,OK,AUTO,0.052,ADULT,false,93.5,56,100.0,137.9,113.26,37.9,1.379,0.538,measured,,100.0,81.33
2026-09-02 18:00:00+0900,6,2,OK,AUTO,0.054,ADULT,false,92.5,64,100.0,131.5,111.02,31.5,1.315,0.492,measured,,100.0,78.67
2026-09-02 08:00:00+0900,5,1,OK,AUTO,0.052,ADULT,false,99.1,8,100.0,149.2,117.22,49.2,1.492,0.805,measured,,100.0,97.33
2026-09-01 18:00:00+0900,4,2,OK,AUTO,0.051,ADULT,false,95.5,39,100.0,124.1,108.44,24.1,1.241,0.632,measured,,100.0,87.0
2026-09-01 08:00:00+0900,3,1,OK,AUTO,0.052,ADULT,false,97.5,21,100.0,149.0,117.15,49.0,1.49,0.732,measured,,100.0,93.0
2026-08-31 18:00:00+0900,2,2,OK,AUTO,0.057,ADULT,false,97.2,24,100.0,146.4,116.24,46.4,1.464,0.716,measured,,100.0,92.0
2026-08-31 08:00:00+0900,1,1,OK,AUTO,0.058,ADULT,false,98.8,10,100.0,130.4,110.64,30.4,1.304,0.794,measured,,100.0,96.67
