timestamp,event_id,meal_no,status,feed_amount_g,frs_v2,activity_increase_pct,response_latency_sec,activity_score,latency_score
2026-09-15 18:00:00+09:00,32,2,OK,0.052,98.6,33.9,12,100.00,96.00
2026-09-15 08:00:00+09:00,31,1,OK,0.050,93.3,39.9,57,100.00,81.00
2026-09-14 18:00:00+09:00,30,2,OK,0.052,96.3,30.2,32,100.00,89.33
2026-09-14 08:00:00+09:00,29,1,OK,0.057,97.2,19.2,24,100.00,92.00
2026-09-13 18:00:00+09:00,28,2,OK,0.059,95.7,37.2,37,100.00,87.67
2026-09-13 08:00:00+09:00,27,1,OK,0.055,99.1,48.4,8,100.00,97.33
2026-09-12 18:00:00+09:00,26,2,OK,0.052,92.9,25.0,61,100.00,79.67
2026-09-12 08:00:00+09:00,25,1,OK,0.059,94.6,38.3,46,100.00,84.67
2026-09-11 18:00:00+09:00,24,2,OK,0.052,92.0,40.7,69,100.00,77.00
2026-09-11 08:00:00+09:00,23,1,OK,0.055,98.5,26.2,13,100.00,95.67
2026-09-10 18:00:00+09:00,22,2,OK,0.050,94.4,13.4,48,100.00,84.00
2026-09-10 08:00:00+09:00,21,1,OK,0.054,99.1,41.5,8,100.00,97.33
2026-09-09 18:00:00+09:00,20,2,OK,0.057,96.5,32.9,30,100.00,90.00
2026-09-09 08:00:00+09:00,19,1,OK,0.056,99.1,35.9,8,100.00,97.33
2026-09-08 18:00:00+09:00,18,2,OK,0.055,91.6,41.3,72,100.00,76.00
2026-09-08 08:00:00+09:00,17,1,OK,0.052,98.0,48.2,17,100.00,94.33
2026-09-07 18:00:00+09:00,16,2,OK,0.055,97.2,30.2,24,100.00,92.00
2026-09-07 08:00:00+09:00,15,1,OK,0.059,94.0,28.2,51,100.00,83.00
2026-09-06 18:00:00+09:00,14,2,OK,0.057,94.4,33.5,48,100.00,84.00
2026-09-06 08:00:00+09:00,13,1,OK,0.059,96.3,37.0,32,100.00,89.33
2026-09-05 18:00:00+09:00,12,2,OK,0.055,91.1,32.1,76,100.00,74.67
2026-09-05 08:00:00+09:00,11,1,OK,0.058,97.9,44.5,18,100.00,94.00
2026-09-04 18:00:00+09:00,10,2,OK,0.052,95.1,37.6,42,100.00,86.00
2026-09-04 08:00:00+09:00,9,1,OK,0.056,94.6,36.5,46,100.00,84.67
2026-09-03 18:00:00+09:00,8,2,OK,0.055,95.7,48.6,37,100.00,87.67
2026-09-03 08:00:00+09:00,7,1,OK,0.052,93.5,37.9,56,100.00,81.33
2026-09-02 18:00:00+09:00,6,2,OK,0.054,92.5,31.5,64,100.00,78.67
2026-09-02 08:00:00+09:00,5,1,OK,0.052,99.1,49.2,8,100.00,97.33
2026-09-01 18:00:00+09:00,4,2,OK,0.051,95.5,24.1,39,100.00,87.00
2026-09-01 08:00:00+09:00,3,1,OK,0.052,97.5,49.0,21,100.00,93.00
2026-08-31 18:00:00+09:00,2,2,OK,0.057,97.2,46.4,24,100.00,92.00
2026-08-31 08:00:00+09:00,1,1,OK,0.058,98.8,30.4,10,100.00,96.67
