timestamp,day_since_first,fish_id,estimated_length_cm,estimated_weight_g,growth_rate_cm_day,growth_stage,size_index,recommended_feed_g,life_status,data_source,note,phase,observed_error_cm,observed_lower_cm,observed_upper_cm,vbgf_predicted_length_cm,vbgf_prediction_error_cm,vbgf_prediction_lower_cm,vbgf_prediction_upper_cm,comet_reference_length_cm,comet_reference_lower_cm,comet_reference_upper_cm,vbgf_linf_cm,vbgf_k_per_year,vbgf_t0_year,comet_reference_linf_cm,comet_reference_k_per_year,comet_reference_t0_year,activity_level_px_s,abr_score,dominant_zone
2026-06-01 00:00:00,0,1,2.958,,,FRY,0.2958,0.0316,ALIVE,measured,,history,0.3,2.668,3.25,,,,,3.0,2.55,3.45,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-06-01 00:00:00,0,2,3.141,,,JUVENILE,0.3141,0.0114,ALIVE,measured,,history,0.3,2.832,3.451,,,,,3.0,2.55,3.45,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-06-01 00:00:00,0,3,1.9,0.297,0.0,FRY,0.29,0.0297,ALIVE,synthetic_reconstruction,,history,0.1,1.8,2.0,,,,,3.0,2.55,3.45,,,,28.0,0.446287,-0.253937,14.8,0.03,MID
2026-06-02 00:00:00,1,3,1.93,0.3067,0.03,FRY,0.293,0.0307,ALIVE,synthetic_reconstruction,,history,0.1,1.83,2.03,,,,,,,,,,,,,,15.1,0.03,MID
2026-06-03 00:00:00,2,3,1.96,0.3167,0.03,FRY,0.296,0.0317,ALIVE,synthetic_reconstruction,,history,0.1,1.86,2.06,,,,,,,,,,,,,,15.4,0.04,MID
2026-06-04 00:00:00,3,3,1.99,0.3269,0.03,FRY,0.299,0.0327,ALIVE,synthetic_reconstruction,,history,0.1,1.89,2.09,,,,,,,,,,,,,,15.2,0.03,MID
2026-06-05 00:00:00,4,3,2.02,0.3373,0.03,JUVENILE,0.302,0.0101,ALIVE,synthetic_reconstruction,,history,0.1,1.92,2.12,,,,,,,,,,,,,,15.8,0.04,MID
2026-06-06 00:00:00,5,3,2.05,0.3479,0.03,JUVENILE,0.305,0.0104,ALIVE,synthetic_reconstruction,,history,0.1,1.95,2.15,,,,,,,,,,,,,,16.0,0.03,MID
2026-06-07 00:00:00,6,3,2.08,0.3588,0.03,JUVENILE,0.308,0.0108,ALIVE,synthetic_reconstruction,,history,0.1,1.98,2.18,,,,,,,,,,,,,,16.2,0.04,MID
2026-06-08 00:00:00,7,1,3.23,,,JUVENILE,0.323,0.0125,ALIVE,measured,,history,0.4,2.842,3.618,,,,,3.21,2.73,3.69,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-06-08 00:00:00,7,2,3.43,,,JUVENILE,0.343,0.0151,ALIVE,measured,,history,0.4,3.018,3.842,,,,,3.21,2.73,3.69,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-06-08 00:00:00,7,3,2.11,0.3699,0.03,JUVENILE,0.311,0.0111,ALIVE,synthetic_reconstruction,,history,0.1,2.01,2.21,,,,,3.21,2.73,3.69,,,,28.0,0.446287,-0.253937,16.4,0.04,MID
2026-06-09 00:00:00,8,3,2.14,0.3812,0.03,JUVENILE,0.314,0.0114,ALIVE,synthetic_reconstruction,,history,0.1,2.04,2.24,,,,,,,,,,,,,,16.1,0.05,MID
2026-06-10 00:00:00,9,3,2.17,0.3927,0.03,JUVENILE,0.317,0.0118,ALIVE,synthetic_reconstruction,,history,0.1,2.07,2.27,,,,,,,,,,,,,,15.9,0.04,MID
2026-06-11 00:00:00,10,3,2.19,0.4006,0.02,JUVENILE,0.319,0.012,ALIVE,synthetic_reconstruction,,history,0.1,2.09,2.29,,,,,,,,,,,,,,15.6,0.05,MID
2026-06-12 00:00:00,11,3,2.21,0.4085,0.02,JUVENILE,0.321,0.0123,ALIVE,synthetic_reconstruction,,history,0.1,2.11,2.31,,,,,,,,,,,,,,15.1,0.05,MID
2026-06-13 00:00:00,12,3,2.23,0.4166,0.02,JUVENILE,0.323,0.0125,ALIVE,synthetic_reconstruction,,history,0.1,2.13,2.33,,,,,,,,,,,,,,14.6,0.06,MID
2026-06-14 00:00:00,13,3,2.24,0.4206,0.01,JUVENILE,0.324,0.0126,ALIVE,synthetic_reconstruction,,history,0.1,2.14,2.34,,,,,,,,,,,,,,13.8,0.08,MID
2026-06-15 00:00:00,14,1,3.54,,,JUVENILE,0.354,0.0167,ALIVE,measured,,history,0.4,3.152,3.928,,,,,3.42,2.91,3.94,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
