date,weeks_since_2026_06_01,months_since_start,phase,observed_average_length_cm,observed_error_cm,observed_lower_cm,observed_upper_cm,observed_data_type,vbgf_predicted_length_cm,vbgf_prediction_error_cm,vbgf_prediction_lower_cm,vbgf_prediction_upper_cm,comet_reference_length_cm,comet_reference_lower_cm,comet_reference_upper_cm,vbgf_linf_cm,vbgf_k_per_year,vbgf_t0_year,comet_reference_linf_cm,comet_reference_k_per_year,comet_reference_t0_year,reference_profile_type,note
2026-06-01,0.0,0.0,history,3.05,0.3,2.75,3.35,purchase_estimate,,,,,3.0,2.55,3.45,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Historical estimate/current anchor from goldfish_growth_weekly_ratio_cm_v2.csv.
2026-06-08,1.0,0.23,history,3.33,0.4,2.93,3.73,synthetic_backfill,,,,,3.21,2.73,3.69,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Historical estimate/current anchor from goldfish_growth_weekly_ratio_cm_v2.csv.
2026-06-15,2.0,0.46,history,3.65,0.4,3.25,4.05,synthetic_backfill,,,,,3.42,2.91,3.94,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Historical estimate/current anchor from goldfish_growth_weekly_ratio_cm_v2.csv.
2026-06-22,3.0,0.69,history,3.99,0.4,3.59,4.39,synthetic_backfill,,,,,3.63,3.09,4.18,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Historical estimate/current anchor from goldfish_growth_weekly_ratio_cm_v2.csv.
2026-06-29,4.0,0.92,history,4.32,0.4,3.92,4.72,synthetic_backfill,,,,,3.84,3.26,4.42,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Historical estimate/current anchor from goldfish_growth_weekly_ratio_cm_v2.csv.
2026-07-06,5.0,1.15,history,4.69,0.4,4.29,5.09,synthetic_backfill,,,,,4.05,3.44,4.65,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Historical estimate/current anchor from goldfish_growth_weekly_ratio_cm_v2.csv.
2026-07-13,6.0,1.38,history,5.04,0.4,4.64,5.44,synthetic_backfill,,,,,4.25,3.61,4.89,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Historical estimate/current anchor from goldfish_growth_weekly_ratio_cm_v2.csv.
2026-07-20,7.0,1.61,history,5.4,0.4,5.0,5.8,synthetic_backfill,,,,,4.45,3.78,5.12,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Historical estimate/current anchor from goldfish_growth_weekly_ratio_cm_v2.csv.
2026-07-27,8.0,1.84,history,5.74,0.45,5.29,6.19,synthetic_backfill,,,,,4.65,3.96,5.35,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Historical estimate/current anchor from goldfish_growth_weekly_ratio_cm_v2.csv.
2026-08-03,9.0,2.07,history,6.09,0.45,5.64,6.54,synthetic_backfill,,,,,4.85,4.12,5.58,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Historical estimate/current anchor from goldfish_growth_weekly_ratio_cm_v2.csv.
