date,row_type,hour,top_pct,mid_pct,bot_pct,zone,latest_avg_pct,description
2026-09-08,hourly,0,1.6,88.6,9.8,,,
2026-09-08,hourly,1,2.1,88.5,9.4,,,
2026-09-08,hourly,2,1.5,88.9,9.6,,,
2026-09-08,hourly,3,1.2,88.4,10.4,,,
2026-09-08,hourly,4,1.0,87.9,11.1,,,
2026-09-08,hourly,5,0.5,88.9,10.6,,,
2026-09-08,hourly,6,0.6,89.2,10.2,,,
2026-09-08,hourly,7,0.3,87.3,12.4,,,
2026-09-08,hourly,8,0.4,89.2,10.4,,,
2026-09-08,hourly,9,0.3,75.3,24.4,,,
2026-09-08,hourly,10,0.5,64.8,34.7,,,
2026-09-08,hourly,11,0.1,66.2,33.7,,,
2026-09-08,hourly,12,0.9,62.1,37.0,,,
2026-09-08,hourly,13,0.8,64.6,34.6,,,
2026-09-08,hourly,14,0.2,67.4,32.4,,,
2026-09-08,hourly,15,0.5,64.3,35.2,,,
2026-09-08,hourly,16,0.7,85.0,14.3,,,
2026-09-08,hourly,17,1.9,91.0,7.1,,,
2026-09-08,hourly,18,0.5,95.8,3.7,,,
2026-09-08,hourly,19,0.1,94.9,5.0,,,
2026-09-08,hourly,20,0.8,91.3,7.9,,,
2026-09-08,hourly,21,0.7,92.1,7.2,,,
2026-09-08,hourly,22,1.3,87.6,11.1,,,
2026-09-08,hourly,23,1.1,91.2,7.7,,,
2026-09-09,hourly,0,1.2,91.7,7.1,,,
2026-09-09,hourly,1,1.7,88.1,10.2,,,
2026-09-09,hourly,2,2.1,84.2,13.7,,,
2026-09-09,hourly,3,1.2,88.8,10.0,,,
2026-09-09,hourly,4,1.0,88.3,10.7,,,
2026-09-09,hourly,5,0.9,85.3,13.8,,,
2026-09-09,hourly,6,1.1,88.6,10.3,,,
2026-09-09,hourly,7,0.8,88.1,11.1,,,
2026-09-09,hourly,8,0.8,87.9,11.3,,,
2026-09-09,hourly,9,0.4,76.0,23.6,,,
2026-09-09,hourly,10,0.3,65.4,34.3,,,
2026-09-09,hourly,11,0.1,64.3,35.6,,,
2026-09-09,hourly,12,0.7,63.4,35.9,,,
2026-09-09,hourly,13,0.8,64.5,34.7,,,
2026-09-09,hourly,14,0.9,66.6,32.5,,,
2026-09-09,hourly,15,1.1,66.4,32.5,,,
2026-09-09,hourly,16,1.0,83.8,15.2,,,
2026-09-09,hourly,17,1.9,93.1,5.0,,,
2026-09-09,hourly,18,0.1,94.8,5.1,,,
